Date,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Adj Close,TSLA_Volume,TSLA_Return,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,GSPC_Adj Close,GSPC_Volume,GSPC_Return
2020-01-27,36.13266754150391,37.62933349609375,35.95199966430664,37.20133209228516,37.20133209228516,204121500,2.9576132167759956,3247.16,3258.85,3234.5,3243.63,3243.63,3831050000,-0.10871038076349011
2020-01-28,37.89933395385742,38.45399856567383,37.20533371,37.79333114624024,37.79333114624024,176827500,-0.2796957005794329,3255.35,3285.78,3253.22,3276.24,3276.24,3531570000,0.6417128726557781
2020-01-29,38.37933349609375,39.31999969482422,37.82866668701172,38.73266602,38.73266602,267022500,0.9206322562694208,3289.46,3293.47,3271.89,3273.4,3273.4,3600250000,-0.4882260310202874
2020-01-30,42.16133117675781,43.391998291015625,41.20000076293945,42.72066879272461,42.72066879272461,435085500,1.326660236655767,3256.45,3285.91,3242.8,3283.66,3283.66,3790350000,0.8355724792335224
2020-01-31,42.66666793823242,43.53333282470703,42.167999267578125,43.37133407592773,43.37133407592773,235789500,1.6515612110030122,3282.33,3282.33,3214.68,3225.52,3225.52,4529700000,-1.7307827061873713
2020-02-03,44.91266632080078,52.40933227539063,44.90133285522461,52.0,52.0,705975000,15.780255905040317,3235.66,3268.44,3235.66,3248.92,3248.92,3760460000,0.40980819987267575
2020-02-04,58.86399841308594,64.59933471679688,55.59199905395508,59.137332916259766,59.137332916259766,914082000,0.4643491956758814,3280.61,3306.92,3280.61,3297.59,3297.59,3996900000,0.517586668333024
2020-02-05,54.88399887084961,56.39866638183594,46.94066619873047,48.97999954223633,48.97999954223633,726357000,-10.757232435825765,3324.91,3337.58,3313.75,3334.69,3334.69,4121480000,0.29414330011940776
2020-02-06,46.66133117675781,53.05533218383789,45.79999923706055,49.93066787719727,49.93066787719727,598212000,7.006522570166042,3344.92,3347.96,3334.39,3345.78,3345.78,3887250000,0.025710629850642985
2020-02-07,48.70333480834961,51.31666564941406,48.66666793823242,49.87133407592773,49.87133407592773,255952500,2.398191565678739,3335.54,3341.42,3322.12,3327.71,3327.71,3733920000,-0.2347445990754099
