Date,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Adj Close,TSLA_Volume,TSLA_Return,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,GSPC_Adj Close,GSPC_Volume,GSPC_Return,change_in_followers,TSLA_Positive_Return
2020-05-13,54.72200012207031,55.06666564941406,50.88666534423828,52.73066711425781,52.73066711425781,285982500,-3.6389989462562817,2865.86,2874.14,2793.15,2820.0,2820.0,6151650000,-1.600217735688419,174066.0,0
2020-05-19,54.34466552734375,54.80466842651367,53.73866653442383,53.867332458496094,53.867332458496094,144547500,-0.8783439261531273,2948.59,2964.21,2922.35,2922.94,2922.94,4984330000,-0.8699073116303077,87362.0,0
2020-05-26,55.633331298828125,55.63999938964844,54.38066864013672,54.5913314819336,54.5913314819336,121345500,-1.872977570402068,3004.08,3021.72,2988.17,2991.77,2991.77,5848500000,-0.4097760379217579,68096.0,0
2020-05-28,54.23400115966797,54.98333358764648,53.44599914550781,53.72066879272461,53.72066879272461,108834000,-0.9465139137200661,3046.61,3068.67,3023.4,3029.73,3029.73,5447020000,-0.5540584452883732,150412.0,0
2020-06-04,59.32533264160156,59.71666717529297,57.22933197021485,57.62533187866211,57.62533187866211,133315500,-2.8655562257182137,3111.56,3128.91,3090.41,3112.35,3112.35,6451290000,0.025389193844886925,505668.0,0
2020-06-09,62.66733169555664,63.62933349609375,61.595333099365234,62.711334228515625,62.711334228515625,170823000,0.07021606276895993,3213.32,3222.71,3193.11,3207.18,3207.18,6410930000,-0.1910796310358236,153172.0,1
2020-06-16,67.45666504,67.52532958984375,64.15933227539062,65.47533416748047,65.47533416748047,210766500,-2.9371906709954594,3131.0,3153.45,3076.06,3124.74,3124.74,5845810000,-0.1999361226445295,198397.0,0
2020-06-17,65.84733581542969,67.0,65.50466918945312,66.11933135986328,66.11933135986328,148362000,0.41306993071974574,3136.13,3141.16,3108.03,3113.49,3113.49,4560450000,-0.7219088494418384,32049.0,1
2020-06-19,67.51866912841797,67.73133087158203,66.08933258,66.72666931152344,66.72666931152344,130195500,-1.1730086317136634,3140.29,3155.53,3083.11,3097.74,3097.74,8346650000,-1.3549704008228598,43711.0,0
2020-07-07,93.66733551,95.3000030517578,89.11399841308594,92.65733337402344,92.65733337402344,322345500,-1.0782863956546886,3166.44,3184.15,3142.93,3145.32,3145.32,4571330000,-0.6669951112290108,306956.0,0
2020-07-14,103.73332977294922,106.0,95.40000153,101.12000274658205,101.12000274658205,351271500,-2.5192742121430065,3141.11,3200.95,3127.66,3197.52,3197.52,4507140000,1.7958619723600844,84153.0,0
2020-07-17,100.89666748046876,102.50066375732422,99.33333587646484,100.05599975585938,100.05599975585938,139950000,-0.8331967205677262,3224.21,3233.52,3205.65,3224.73,3224.73,4012850000,0.016127981738161653,67953.0,0
2020-08-03,96.61333465576172,100.65399932861328,96.29199981689452,99.0,99.0,132139500,2.470327054481757,3288.26,3302.73,3284.53,3294.61,3294.61,4438940000,0.19311125032691784,291279.0,1
2020-08-05,99.5326690673828,99.98933410644533,97.88733673095705,99.00133514404295,99.00133514404295,74217000,-0.5338286698411906,3317.37,3330.77,3317.37,3327.77,3327.77,4535060000,0.31350135800348145,61106.0,0
2020-08-07,99.96932983398438,99.98332977294922,94.33399963378906,96.84733581542967,96.84733581542967,133446000,-3.1229518330664914,3340.05,3352.54,3328.72,3351.28,3351.28,4110030000,0.3362225116390478,76084.0,0
2020-08-12,98.0,105.66666412353516,95.66666412353516,103.65066528320312,103.65066528320312,327441000,5.765984982860331,3355.46,3387.89,3355.46,3380.35,3380.35,3772250000,0.7417760903125018,129899.0,1
2020-08-14,110.99933624267578,111.25333404541016,108.44266510009766,110.04733276367188,110.04733276367188,188664000,-0.8576659205624065,3368.66,3378.51,3361.64,3372.85,3372.85,3200060000,0.12438180166594595,65612.0,0
2020-08-21,136.3173370361328,139.69932556152344,135.00332641601562,136.6653289794922,136.6653289794922,322344000,0.25528076686763246,3386.01,3399.96,3379.31,3397.16,3397.16,3505010000,0.32929613320692014,195532.0,1
2020-08-25,131.65933227539062,135.19667053222656,131.1999969482422,134.8893280029297,134.8893280029297,159883500,2.4532979711479244,3435.95,3444.21,3425.84,3443.62,3443.62,3627650000,0.22322792822945833,66371.0,1
